x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
-0.4238182,-0.6868549,0.0,0.0,groundplane,groundplane,2255948.0,2239666.0,0.9927826346206637
0.02462626,-0.3535216,0.0,0.0,groundplane,groundplane,2212088.0,2220454.0,1.003781946738203
0.4730707,-0.02018825,0.0,0.0,groundplane,groundplane,2127907.0,2152952.0,1.011769780816657
0.9215152,0.3131451,0.0,0.0,groundplane,groundplane,2140871.0,2120588.0,0.9905258182344822
1.36996,0.6464784,0.0,0.0,groundplane,groundplane,2184296.0,2198443.0,1.0064766858491354
1.818404,0.9798117,0.0,0.0,groundplane,groundplane,2226002.0,2224882.0,0.9994968553489633
2.266848,1.313145,0.0,0.0,groundplane,groundplane,2245095.0,2235108.0,0.9955516354561603
2.715293,1.646478,0.0,0.0,groundplane,groundplane,2275306.0,2273171.0,0.9990616642337067
3.163737,1.979812,0.0,0.0,groundplane,groundplane,2272295.0,2278919.0,1.0029151140134027
3.612182,2.313145,0.0,0.0,groundplane,groundplane,2316953.0,2309796.0,0.9969110288396393
-0.3296364,-0.6868549,0.0,0.0,groundplane,groundplane,2255494.0,2238804.0,0.9926002902279498
0.1188081,-0.3535216,0.0,0.0,groundplane,groundplane,2208035.0,2215221.0,1.0032544769429586
0.5672525,-0.02018825,0.0,0.0,groundplane,groundplane,2124075.0,2147741.0,1.0111417906565718
1.015697,0.3131451,0.0,0.0,groundplane,groundplane,2140751.0,2127460.0,0.9937914306737254
1.464141,0.6464784,0.0,0.0,groundplane,groundplane,2195013.0,2206262.0,1.0051247983473788
1.912586,0.9798117,0.0,0.0,groundplane,groundplane,2228170.0,2226005.0,0.999028350171204
2.36103,1.313145,0.0,0.0,groundplane,groundplane,2273553.0,2264794.0,0.996147439274058
2.809475,1.646478,0.0,0.0,groundplane,groundplane,2274862.0,2274240.0,0.9997265763814567
3.257919,1.979812,0.0,0.0,groundplane,groundplane,2314552.0,2309612.0,0.9978656772464538
3.706364,2.313145,0.0,0.0,groundplane,groundplane,2316737.0,2309656.0,0.9969435456001506
-0.2354545,-0.6868549,0.0,0.0,groundplane,groundplane,2253096.0,2239976.0,0.9941769010312135
0.2129899,-0.3535216,0.0,0.0,groundplane,groundplane,2203982.0,2209988.0,1.0027250671726333
0.6614343,-0.02018825,0.0,0.0,groundplane,groundplane,2120242.0,2142530.0,1.010512007114984
1.109879,0.3131451,0.0,0.0,groundplane,groundplane,2142137.0,2136938.0,0.9975729838952536
1.558323,0.6464784,0.0,0.0,groundplane,groundplane,2201996.0,2211467.0,1.0043010972752442
2.006768,0.9798117,0.0,0.0,groundplane,groundplane,2230338.0,2227128.0,0.998560755814338
2.455212,1.313145,0.0,0.0,groundplane,groundplane,2277429.0,2269562.0,0.9965456657500428
2.903657,1.646478,0.0,0.0,groundplane,groundplane,2274417.0,2275805.0,1.0006102658392853
3.352101,1.979812,0.0,0.0,groundplane,groundplane,2314336.0,2309472.0,0.9978983168399496
3.800545,2.313145,0.0,0.0,groundplane,groundplane,2316521.0,2309516.0,0.9969760684246004
-0.1412727,-0.6868549,0.0,0.0,groundplane,groundplane,2248194.0,2241134.0,0.996859701165976
0.3071717,-0.3535216,0.0,0.0,groundplane,groundplane,2199930.0,2203442.0,1.0015964139760827
0.7556162,-0.02018825,0.0,0.0,groundplane,groundplane,2119940.0,2134390.0,1.0068162301731103
1.204061,0.3131451,0.0,0.0,groundplane,groundplane,2145990.0,2150576.0,1.0021370085591559
1.652505,0.6464784,0.0,0.0,groundplane,groundplane,2208172.0,2215898.0,1.0034988211953149
2.100949,0.9798117,0.0,0.0,groundplane,groundplane,2232505.0,2228252.0,0.9980949646257925
2.549394,1.313145,0.0,0.0,groundplane,groundplane,2276984.0,2270631.0,0.9972099052970025
2.997838,1.646478,0.0,0.0,groundplane,groundplane,2273973.0,2282507.0,1.0037529025174208
3.446283,1.979812,0.0,0.0,groundplane,groundplane,2314120.0,2309332.0,0.9979309625266057
3.894727,2.313145,0.0,0.0,groundplane,groundplane,2316305.0,2309376.0,0.9970085973146849
-0.04709091,-0.6868549,0.0,0.0,groundplane,groundplane,2240374.0,2241656.0,1.0005722254406753
0.4013535,-0.3535216,0.0,0.0,groundplane,groundplane,2170205.0,2195594.0,1.011698894338692
0.849798,-0.02018825,0.0,0.0,groundplane,groundplane,2126742.0,2121140.0,0.9973659235594322
1.298242,0.3131451,0.0,0.0,groundplane,groundplane,2155118.0,2178871.0,1.011021669806005
1.746687,0.6464784,0.0,0.0,groundplane,groundplane,2213527.0,2219431.0,1.002667236043352
2.195131,0.9798117,0.0,0.0,groundplane,groundplane,2234673.0,2229374.0,0.9976287353909816
2.643576,1.313145,0.0,0.0,groundplane,groundplane,2276540.0,2271700.0,0.9978739661952463
3.09202,1.646478,0.0,0.0,groundplane,groundplane,2273528.0,2289193.0,1.006890172011565
3.540465,1.979812,0.0,0.0,groundplane,groundplane,2313904.0,2309192.0,0.9979636143081287
3.988909,2.313145,0.0,0.0,groundplane,groundplane,2316090.0,2309236.0,0.9970407017874776
0.04709091,-0.6868549,0.0,0.0,groundplane,groundplane,2231251.0,2241701.0,1.0046834708400427
0.4955354,-0.3535216,0.0,0.0,groundplane,groundplane,2150977.0,2186906.0,1.016703571903975
0.9439798,-0.02018825,0.0,0.0,groundplane,groundplane,2135894.0,2122584.0,0.9937684168812831
1.392424,0.3131451,0.0,0.0,groundplane,groundplane,2167859.0,2184751.0,1.007792019219058
1.840869,0.6464784,0.0,0.0,groundplane,groundplane,2217678.0,2221228.0,1.001600772969926
2.289313,0.9798117,0.0,0.0,groundplane,groundplane,2236841.0,2230498.0,0.9971643040353944
2.737758,1.313145,0.0,0.0,groundplane,groundplane,2276095.0,2272769.0,0.9985387248781185
3.186202,1.646478,0.0,0.0,groundplane,groundplane,2273084.0,2296039.0,1.0100986144770283
3.634646,1.979812,0.0,0.0,groundplane,groundplane,2313688.0,2309052.0,0.9979962721862254
4.083091,2.313145,0.0,0.0,groundplane,groundplane,2315874.0,2309096.0,0.9970732427597212
0.1412727,-0.6868549,0.0,0.0,groundplane,groundplane,2227198.0,2236468.0,1.0041621800108647
0.5897172,-0.3535216,0.0,0.0,groundplane,groundplane,2147144.0,2180261.0,1.0154237438125138
1.038162,-0.02018825,0.0,0.0,groundplane,groundplane,2135708.0,2124028.0,0.9945310871174659
1.486606,0.3131451,0.0,0.0,groundplane,groundplane,2174370.0,2190081.0,1.007225540728015
1.935051,0.6464784,0.0,0.0,groundplane,groundplane,2219916.0,2221395.0,1.0006662409745835
2.383495,0.9798117,0.0,0.0,groundplane,groundplane,2239008.0,2231620.0,0.9967003239842375
2.831939,1.313145,0.0,0.0,groundplane,groundplane,2275651.0,2273839.0,0.9992037438960526
3.280384,1.646478,0.0,0.0,groundplane,groundplane,2272639.0,2303483.0,1.0135718866861072
3.728828,1.979812,0.0,0.0,groundplane,groundplane,2313472.0,2308912.0,0.9980289361626036
