x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
-0.7118182,-0.4114391,0.0,0.0,groundplane,groundplane,1567663.0,1558042.0,0.9938628385093845
-0.1851515,-0.300328,0.0,0.0,groundplane,groundplane,1509580.0,1525370.0,1.0104598623388892
0.3415152,-0.1892169,0.0,0.0,groundplane,groundplane,1452918.0,1441190.0,0.9919279677229356
0.8681818,-0.07810582,0.0,0.0,groundplane,groundplane,1457246.0,1465184.0,1.0054472607881941
1.394848,0.0330053,0.0,0.0,groundplane,groundplane,1470388.0,1457512.0,0.9912431269901257
1.921515,0.1441164,0.0,0.0,groundplane,groundplane,1536113.0,1488043.0,0.9687067286269261
2.448182,0.2552275,0.0,0.0,groundplane,groundplane,1555418.0,1554714.0,0.9995473879050215
2.974848,0.3663386,0.0,0.0,groundplane,groundplane,1536783.0,1569008.0,1.0209691277031507
3.501515,0.4774497,0.0,0.0,groundplane,groundplane,1539554.0,1555499.0,1.0103568949121908
4.028182,0.5885609,0.0,0.0,groundplane,groundplane,1562612.0,1556453.0,0.9960585218876736
-0.5536364,-0.4114391,0.0,0.0,groundplane,groundplane,1555369.0,1544321.0,0.9928968617782039
-0.0269697,-0.300328,0.0,0.0,groundplane,groundplane,1480964.0,1508893.0,1.0188586616427824
0.499697,-0.1892169,0.0,0.0,groundplane,groundplane,1444324.0,1423452.0,0.9855489481684518
1.026364,-0.07810582,0.0,0.0,groundplane,groundplane,1442661.0,1456782.0,1.0097881615918167
1.55303,0.0330053,0.0,0.0,groundplane,groundplane,1475597.0,1464037.0,0.9921658820178099
2.079697,0.1441164,0.0,0.0,groundplane,groundplane,1551645.0,1494307.0,0.9630469592187344
2.606364,0.2552275,0.0,0.0,groundplane,groundplane,1555194.0,1554294.0,0.9994212934210001
3.13303,0.3663386,0.0,0.0,groundplane,groundplane,1531140.0,1563910.0,1.0214023531346563
3.659697,0.4774497,0.0,0.0,groundplane,groundplane,1540847.0,1551389.0,1.0068416909616325
4.186364,0.5885609,0.0,0.0,groundplane,groundplane,1550477.0,1555064.0,1.0029584437544328
-0.3954545,-0.4114391,0.0,0.0,groundplane,groundplane,1547646.0,1546827.0,0.9994708085702604
0.1312121,-0.300328,0.0,0.0,groundplane,groundplane,1468171.0,1464826.0,0.9977216543592528
0.6578788,-0.1892169,0.0,0.0,groundplane,groundplane,1478373.0,1481741.0,1.0022781794565525
1.184545,-0.07810582,0.0,0.0,groundplane,groundplane,1464152.0,1451428.0,0.9913096447695939
1.711212,0.0330053,0.0,0.0,groundplane,groundplane,1504127.0,1477608.0,0.9823691742902234
2.237879,0.1441164,0.0,0.0,groundplane,groundplane,1557690.0,1538758.0,0.9878461048168468
2.764545,0.2552275,0.0,0.0,groundplane,groundplane,1549009.0,1580180.0,1.0201231877799786
3.291212,0.3663386,0.0,0.0,groundplane,groundplane,1537375.0,1561390.0,1.0156207815167928
3.817879,0.4774497,0.0,0.0,groundplane,groundplane,1563812.0,1555426.0,0.9946374621791895
4.344545,0.5885609,0.0,0.0,groundplane,groundplane,1538342.0,1536492.0,0.9987974059092208
-0.2372727,-0.4114391,0.0,0.0,groundplane,groundplane,1519030.0,1530350.0,1.007452123389629
0.2893939,-0.300328,0.0,0.0,groundplane,groundplane,1459577.0,1447088.0,0.9914434106652521
0.8160606,-0.1892169,0.0,0.0,groundplane,groundplane,1463788.0,1473340.0,1.0065255344308566
1.342727,-0.07810582,0.0,0.0,groundplane,groundplane,1469361.0,1457479.0,0.9919134909719848
1.869394,0.0330053,0.0,0.0,groundplane,groundplane,1532404.0,1486469.0,0.970024222744117
2.396061,0.1441164,0.0,0.0,groundplane,groundplane,1557132.0,1556692.0,0.9997174285804175
2.922727,0.2552275,0.0,0.0,groundplane,groundplane,1543366.0,1575082.0,1.0205498883475794
3.449394,0.3663386,0.0,0.0,groundplane,groundplane,1543121.0,1557456.0,1.0092896143534502
3.976061,0.4774497,0.0,0.0,groundplane,groundplane,1565651.0,1558029.0,0.9951317368972193
4.502727,0.5885609,0.0,0.0,groundplane,groundplane,1535099.0,1505578.0,0.9807693178219976
-0.07909091,-0.4114391,0.0,0.0,groundplane,groundplane,1490414.0,1513873.0,1.0157399212462177
