x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
-0.4238182,-0.6868549,4.06633,4.045292,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2415670.0,460657.3,0.19069545915183136
-0.4238182,-0.5355849,4.112578,4.091539,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2417628.0,460742.0999999999,0.19057609351373486
-0.4238182,-0.3843149,4.158826,4.137787,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2419586.0,460826.9000000001,0.19045692106399323
-0.4238182,-0.2330448,4.205074,4.184035,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2421544.0,460911.7,0.19033794133398446
-0.4238182,-0.08177482,4.251322,4.230283,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2413946.0,461306.5,0.19110058792073203
-0.4238182,0.06949521,4.29757,4.276531,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2414919.0,461271.3,0.19100901513011034
-0.4238182,0.2207652,4.343818,4.322779,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2415892.0,461236.0999999999,0.1909175161013333
-0.4238182,0.3720353,4.390066,4.369027,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2416864.0,461201.0,0.1908262110773191
-0.4238182,0.5233053,4.436313,4.415275,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2417837.0,456689.8,0.18888361780017277
-0.4238182,0.6745753,4.482561,4.461523,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2418810.0,455999.5999999999,0.18852228980840893
-0.3296364,-0.6868549,4.06633,4.045292,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2413896.0,460654.4000000001,0.1908344020658577
-0.3296364,-0.5355849,4.112578,4.091539,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2414522.0,460908.5999999999,0.19089020510440977
-0.3296364,-0.3843149,4.158826,4.137787,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2414357.0,461141.0,0.1909995082786019
-0.3296364,-0.2330448,4.205074,4.184035,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2413074.0,461304.3,0.19116873324598882
-0.3296364,-0.08177482,4.251322,4.230283,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2414046.0,461398.8,0.1911309062912923
-0.3296364,0.06949521,4.29757,4.276531,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2415018.0,461363.5999999999,0.19103940418206428
-0.3296364,0.2207652,4.343818,4.322779,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2415991.0,460050.3,0.19041887979283909
-0.3296364,0.3720353,4.390066,4.369027,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2416964.0,458222.9000000001,0.18958615014969768
-0.3296364,0.5233053,4.436313,4.415275,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2417936.0,456889.8,0.18895859932233167
-0.3296364,0.6745753,4.482561,4.461523,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2418909.0,456199.5999999999,0.18859725595770765
-0.2354545,-0.6868549,4.06633,4.045292,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2413321.0,460651.7,0.19087875164933352
-0.2354545,-0.5355849,4.112578,4.091539,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2413992.0,460931.8,0.19094172632264655
-0.2354545,-0.3843149,4.158826,4.137787,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2413841.0,461177.5999999999,0.19105550026242174
-0.2354545,-0.2330448,4.205074,4.184035,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2413173.0,461358.5,0.19118335063786004
-0.2354545,-0.08177482,4.251322,4.230283,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2414146.0,461491.0,0.19116118072761085
-0.2354545,0.06949521,4.29757,4.276531,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2415118.0,461455.9000000001,0.1910697116285541
-0.2354545,0.2207652,4.343818,4.322779,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2416091.0,460460.5,0.19058077688688846
-0.2354545,0.3720353,4.390066,4.369027,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2417064.0,458069.5,0.18951484106771072
-0.2354545,0.5233053,4.436313,4.415275,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2418036.0,457089.5999999999,0.18903341381640573
-0.2354545,0.6745753,4.482561,4.461523,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2428568.0,456399.4000000001,0.18792942994063605
-0.1412727,-0.6868549,4.06633,4.045292,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2412806.0,460648.9000000001,0.19091833318098583
-0.1412727,-0.5355849,4.112578,4.091539,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2414816.0,460932.7,0.19087694458257815
-0.1412727,-0.3843149,4.158826,4.137787,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2416734.0,461196.7,0.19083469666465788
-0.1412727,-0.2330448,4.205074,4.184035,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2418380.0,461401.4000000001,0.19078945401847955
-0.1412727,-0.08177482,4.251322,4.230283,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2420133.0,461583.3,0.19072641867586348
-0.1412727,0.06949521,4.29757,4.276531,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2422013.0,461548.2,0.19056388211352956
-0.1412727,0.2207652,4.343818,4.322779,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2423973.0,461513.0,0.19039527247605675
-0.1412727,0.3720353,4.390066,4.369027,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2425946.0,457979.7,0.18878396296175431
-0.1412727,0.5233053,4.436313,4.415275,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2427901.0,457289.5999999999,0.18834771261746347
-0.1412727,0.6745753,4.482561,4.461523,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2428675.0,456599.4000000001,0.18800349977333178
-0.04709091,-0.6868549,4.06633,4.045292,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2412332.0,460646.0999999999,0.19095468609173413
-0.04709091,-0.5355849,4.112578,4.091539,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2414898.0,460889.4000000001,0.19085253282297948
-0.04709091,-0.3843149,4.158826,4.137787,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2417334.0,461186.5999999999,0.19078315193896117
-0.04709091,-0.2330448,4.205074,4.184035,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2419238.0,461427.8,0.1907327017057715
-0.04709091,-0.08177482,4.251322,4.230283,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2421051.0,461675.5999999999,0.1906922240833868
-0.04709091,0.06949521,4.29757,4.276531,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2422940.0,461640.4000000001,0.19052902664096966
-0.04709091,0.2207652,4.343818,4.322779,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2424905.0,461605.3,0.19036015836069445
