x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
-0.4238182,-0.6868549,3.06633,3.045292,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414375.0,518138.5,0.21460564319353634
-0.4238182,-0.5355849,3.112578,3.091539,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414396.0,517944.3,0.21452334239514836
-0.4238182,-0.3843149,3.158826,3.137787,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414417.0,517750.0,0.21444100161055815
-0.4238182,-0.2330448,3.205074,3.184035,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414438.0,517555.7,0.2143586622583149
-0.4238182,-0.08177482,3.251322,3.230283,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414458.0,517361.5,0.214276454502718
-0.4238182,0.06949521,3.29757,3.276531,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414480.0,515637.4000000001,0.21356043528479823
-0.4238182,0.2207652,3.343818,3.322779,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414500.0,515424.7,0.2134705735293143
-0.4238182,0.3720353,3.390066,3.369027,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414522.0,515212.0,0.2133805365147302
-0.4238182,0.5233053,3.436313,3.415275,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414542.0,514999.3,0.2132906778124834
-0.4238182,0.6745753,3.482561,3.461523,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414564.0,514786.5999999999,0.21320064400314062
-0.3296364,-0.6868549,3.06633,3.045292,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414349.0,517863.2,0.21449392767388065
-0.3296364,-0.5355849,3.112578,3.091539,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414370.0,517617.3,0.21439021350729578
-0.3296364,-0.3843149,3.158826,3.137787,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414391.0,517012.8,0.21413797507771606
-0.3296364,-0.2330448,3.205074,3.184035,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414412.0,516433.3,0.2138960955239221
-0.3296364,-0.08177482,3.251322,3.230283,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414433.0,515873.3,0.2136622966080805
-0.3296364,0.06949521,3.29757,3.276531,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414454.0,515321.0,0.21343169088604225
-0.3296364,0.2207652,3.343818,3.322779,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414475.0,515074.3,0.21332765913363042
-0.3296364,0.3720353,3.390066,3.369027,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414496.0,514861.7,0.213237752221069
-0.3296364,0.5233053,3.436313,3.415275,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414517.0,514648.9000000001,0.21314776404011745
-0.3296364,0.6745753,3.482561,3.461523,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414538.0,514436.2,0.21305781884026764
-0.2354545,-0.6868549,3.06633,3.045292,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414324.0,517588.0,0.21438216237158633
-0.2354545,-0.5355849,3.112578,3.091539,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414344.0,517393.7,0.21429990912053132
-0.2354545,-0.3843149,3.158826,3.137787,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414365.0,516773.0,0.2140409589212729
-0.2354545,-0.2330448,3.205074,3.184035,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414386.0,516187.2,0.21379646824749793
-0.2354545,-0.08177482,3.251322,3.230283,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414407.0,515622.0,0.21356051394252892
-0.2354545,0.06949521,3.29757,3.276531,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414428.0,515045.7,0.2133199663798962
-0.2354545,0.2207652,3.343818,3.322779,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414449.0,514724.0,0.21318487149110008
-0.2354545,0.3720353,3.390066,3.369027,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414470.0,514511.2,0.21309488201837468
-0.2354545,0.5233053,3.436313,3.415275,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414491.0,514298.5999999999,0.21300497694420684
-0.2354545,0.6745753,3.482561,3.461523,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414512.0,505821.8,0.20949235281933062
-0.1412727,-0.6868549,3.06633,3.045292,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414298.0,517312.5999999999,0.21427040066542302
-0.1412727,-0.5355849,3.112578,3.091539,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414318.0,517118.3,0.21418814745439987
-0.1412727,-0.3843149,3.158826,3.137787,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414340.0,516568.3,0.21395839019609564
-0.1412727,-0.2330448,3.205074,3.184035,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414360.0,515967.2,0.2137076491435794
-0.1412727,-0.08177482,3.251322,3.230283,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414382.0,515389.8,0.21346655160058906
-0.1412727,0.06949521,3.29757,3.276531,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414402.0,514777.0999999999,0.21321101448175941
-0.1412727,0.2207652,3.343818,3.322779,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414424.0,514373.5999999999,0.21304195111834456
-0.1412727,0.3720353,3.390066,3.369027,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414444.0,513899.0,0.2128436193952547
-0.1412727,0.5233053,3.436313,3.415275,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414465.0,508498.3,0.21060495794695513
-0.1412727,0.6745753,3.482561,3.461523,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414486.0,505417.0999999999,0.2093269953897736
-0.04709091,-0.6868549,3.06633,3.045292,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414272.0,517037.3,0.21415867797242452
-0.04709091,-0.5355849,3.112578,3.091539,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414293.0,516843.0999999999,0.21407637755066328
-0.04709091,-0.3843149,3.158826,3.137787,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414314.0,516429.7,0.2139032867249648
-0.04709091,-0.2330448,3.205074,3.184035,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414335.0,515788.0,0.21363563871060326
-0.04709091,-0.08177482,3.251322,3.230283,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414356.0,515185.5999999999,0.2133842729848521
-0.04709091,0.06949521,3.29757,3.276531,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414377.0,514518.2,0.21310598957283555
-0.04709091,0.2207652,3.343818,3.322779,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414398.0,514023.2,0.21289911596476674
-0.04709091,0.3720353,3.390066,3.369027,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414418.0,513810.5,0.21280925663542546
-0.04709091,0.5233053,3.436313,3.415275,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414440.0,507583.2,0.21022812734620527
-0.04709091,0.6745753,3.482561,3.461523,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414460.0,505012.5,0.20916167581605755
0.04709091,-0.6868549,3.06633,3.045292,a0.0.a0.test_module.6457,a0.0.a0.test_module.2310,2414246.0,516762.0,0.21404695287305148
