x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
-0.7118182,-0.3511144,0.0,0.0,groundplane,groundplane,1375160.0,1357078.0,0.9868509838950733
-0.5184848,0.09333008,0.0,0.0,groundplane,groundplane,1277320.0,1314228.0,1.0288948728361766
-0.3251515,0.5377745,0.0,0.0,groundplane,groundplane,1154928.0,1171446.0,1.0143021893881679
-0.1318182,0.982219,0.0,0.0,groundplane,groundplane,1093045.0,1083785.0,0.9915282527329358
0.06151515,1.426663,0.0,0.0,groundplane,groundplane,1212881.0,1204500.0,0.9930900055379794
0.2548485,1.871108,0.0,0.0,groundplane,groundplane,1276587.0,1302760.0,1.0205023229748522
0.4481818,2.315552,0.0,0.0,groundplane,groundplane,1346660.0,1372781.0,1.0193968774453859
0.6415152,2.759997,0.0,0.0,groundplane,groundplane,1412514.0,1392604.0,0.9859045637877539
0.8348485,3.204441,0.0,0.0,groundplane,groundplane,1405772.0,1404424.0,0.9990410955695226
1.028182,3.648886,0.0,0.0,groundplane,groundplane,1397939.0,1372900.0,0.9820886312048748
-0.5536364,-0.3511144,0.0,0.0,groundplane,groundplane,1373216.0,1352648.0,0.9850220205815968
-0.360303,0.09333008,0.0,0.0,groundplane,groundplane,1273826.0,1307632.0,1.0265389456436445
-0.1669697,0.5377745,0.0,0.0,groundplane,groundplane,1151186.0,1163335.0,1.0105534631149498
0.02636364,0.982219,0.0,0.0,groundplane,groundplane,1089673.0,1085218.0,0.9959116166079993
0.219697,1.426663,0.0,0.0,groundplane,groundplane,1211664.0,1199324.0,0.9898156576494676
0.4130303,1.871108,0.0,0.0,groundplane,groundplane,1272050.0,1302055.0,1.0235879084756199
0.6063636,2.315552,0.0,0.0,groundplane,groundplane,1343495.0,1372589.0,1.0216554575776944
0.799697,2.759997,0.0,0.0,groundplane,groundplane,1408356.0,1392678.0,0.9888678707735347
0.9930303,3.204441,0.0,0.0,groundplane,groundplane,1401899.0,1445903.0,1.0313888511002656
1.186364,3.648886,0.0,0.0,groundplane,groundplane,1390732.0,1374413.0,0.9882658909205614
-0.3954545,-0.3511144,0.0,0.0,groundplane,groundplane,1371272.0,1348219.0,0.983188600815018
-0.2021212,0.09333008,0.0,0.0,groundplane,groundplane,1270332.0,1301036.0,1.0241700586742915
-0.008787879,0.5377745,0.0,0.0,groundplane,groundplane,1147444.0,1155225.0,1.0067811579416677
0.1845455,0.982219,0.0,0.0,groundplane,groundplane,1086300.0,1100300.0,1.01288778328925
0.3778788,1.426663,0.0,0.0,groundplane,groundplane,1210448.0,1194148.0,0.9865339105962967
0.5712121,1.871108,0.0,0.0,groundplane,groundplane,1267512.0,1301350.0,1.0266963933858644
0.7645455,2.315552,0.0,0.0,groundplane,groundplane,1340330.0,1370968.0,1.0228585489969944
0.9578788,2.759997,0.0,0.0,groundplane,groundplane,1404198.0,1392751.0,0.9918480150293278
1.151212,3.204441,0.0,0.0,groundplane,groundplane,1398026.0,1447416.0,1.0353283837100824
1.344545,3.648886,0.0,0.0,groundplane,groundplane,1383525.0,1375927.0,0.9945082300684785
-0.2372727,-0.3511144,0.0,0.0,groundplane,groundplane,1401425.0,1343790.0,0.9588740025624818
-0.04393939,0.09333008,0.0,0.0,groundplane,groundplane,1266838.0,1290757.0,1.018880866362644
0.1493939,0.5377745,0.0,0.0,groundplane,groundplane,1147060.0,1147114.0,1.000047076002958
