x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
-0.7118182,-0.3511144,0.0,0.0,groundplane,groundplane,1406091.0,1377130.0,0.9794031816010463
-0.5184848,0.09333008,0.0,0.0,groundplane,groundplane,1273442.0,1296860.0,1.0183895293084495
-0.3251515,0.5377745,0.0,0.0,groundplane,groundplane,1133017.0,1134389.0,1.0012109253425052
-0.1318182,0.982219,0.0,0.0,groundplane,groundplane,1125198.0,1111326.0,0.9876715022710034
0.06151515,1.426663,0.0,0.0,groundplane,groundplane,1198704.0,1134536.0,0.9464688522383601
0.2548485,1.871108,0.0,0.0,groundplane,groundplane,1268928.0,1315450.0,1.0366624418117794
0.4481818,2.315552,0.0,0.0,groundplane,groundplane,1346695.0,1357020.0,1.0076669171507528
0.6415152,2.759997,0.0,0.0,groundplane,groundplane,1412707.0,1396075.0,0.9882268573821559
0.8348485,3.204441,0.0,0.0,groundplane,groundplane,1450570.0,1403377.0,0.9674658920510794
1.028182,3.648886,0.0,0.0,groundplane,groundplane,1390859.0,1392921.0,1.0014825363307982
-0.5536364,-0.3511144,0.0,0.0,groundplane,groundplane,1399624.0,1374125.0,0.9817815349109608
-0.360303,0.09333008,0.0,0.0,groundplane,groundplane,1266431.0,1289947.0,1.0185687171124453
-0.1669697,0.5377745,0.0,0.0,groundplane,groundplane,1130475.0,1129516.0,0.9991516831427926
0.02636364,0.982219,0.0,0.0,groundplane,groundplane,1129004.0,1099380.0,0.973760942411399
0.219697,1.426663,0.0,0.0,groundplane,groundplane,1198252.0,1128758.0,0.9420038514920035
0.4130303,1.871108,0.0,0.0,groundplane,groundplane,1265426.0,1309193.0,1.0345867707518364
0.6063636,2.315552,0.0,0.0,groundplane,groundplane,1342738.0,1358912.0,1.01204553605242
0.799697,2.759997,0.0,0.0,groundplane,groundplane,1408971.0,1394800.0,0.9899423047103579
0.9930303,3.204441,0.0,0.0,groundplane,groundplane,1442867.0,1485275.0,1.0293914816615868
1.186364,3.648886,0.0,0.0,groundplane,groundplane,1385226.0,1388078.0,1.0020588690927987
-0.3954545,-0.3511144,0.0,0.0,groundplane,groundplane,1393156.0,1372445.0,0.9851337531582007
-0.2021212,0.09333008,0.0,0.0,groundplane,groundplane,1259420.0,1270110.0,1.0084880333737054
-0.008787879,0.5377745,0.0,0.0,groundplane,groundplane,1127933.0,1124642.0,0.9970822726198434
0.1845455,0.982219,0.0,0.0,groundplane,groundplane,1133459.0,1084134.0,0.9564827656258562
0.3778788,1.426663,0.0,0.0,groundplane,groundplane,1197800.0,1122981.0,0.9375363157976823
0.5712121,1.871108,0.0,0.0,groundplane,groundplane,1261924.0,1302935.0,1.0324987867474598
0.7645455,2.315552,0.0,0.0,groundplane,groundplane,1338781.0,1358406.0,1.014658856814775
0.9578788,2.759997,0.0,0.0,groundplane,groundplane,1405235.0,1393526.0,0.9916675851429352
1.151212,3.204441,0.0,0.0,groundplane,groundplane,1435164.0,1480432.0,1.0315420390759926
1.344545,3.648886,0.0,0.0,groundplane,groundplane,1379592.0,1383234.0,1.0026399102034225
