x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
-0.7118182,-0.3511144,0.0,0.0,groundplane,groundplane,1461925.0,1456330.0,0.9961728536031789
-0.0740404,-0.1369603,0.0,0.0,groundplane,groundplane,1445215.0,1491990.0,1.0323654258830932
0.5637374,0.07719372,0.0,0.0,groundplane,groundplane,1498648.0,1526024.0,1.0182671307616817
1.201515,0.2913478,0.0,0.0,groundplane,groundplane,1484199.0,1503758.0,1.0131781513037146
1.839293,0.5055018,0.0,0.0,groundplane,groundplane,1441833.0,1461715.0,1.0137893909948037
2.477071,0.7196559,0.0,0.0,groundplane,groundplane,1473291.0,1489983.0,1.0113297366159641
3.114848,0.9338099,0.0,0.0,groundplane,groundplane,1514417.0,1489532.0,0.9835679334136055
3.752626,1.147964,0.0,0.0,groundplane,groundplane,1512060.0,1474078.0,0.9748806257854314
4.390404,1.362118,0.0,0.0,groundplane,groundplane,1450413.0,1469658.0,1.013268633821354
5.028182,1.576272,0.0,0.0,groundplane,groundplane,1425768.0,1444783.0,1.0133366711741765
-0.5536364,-0.3511144,0.0,0.0,groundplane,groundplane,1453904.0,1450493.0,0.9976539021849765
0.08414141,-0.1369603,0.0,0.0,groundplane,groundplane,1448267.0,1498361.0,1.034588925222636
0.7219192,0.07719372,0.0,0.0,groundplane,groundplane,1495251.0,1519535.0,1.0162407508731037
1.359697,0.2913478,0.0,0.0,groundplane,groundplane,1481986.0,1500008.0,1.0121607079876864
1.997475,0.5055018,0.0,0.0,groundplane,groundplane,1435127.0,1450078.0,1.0104178926252396
2.635253,0.7196559,0.0,0.0,groundplane,groundplane,1473759.0,1489839.0,1.01091087415859
3.27303,0.9338099,0.0,0.0,groundplane,groundplane,1514089.0,1491631.0,0.9851673177830582
3.910808,1.147964,0.0,0.0,groundplane,groundplane,1501256.0,1462090.0,0.9739111777245779
4.548586,1.362118,0.0,0.0,groundplane,groundplane,1439711.0,1456551.0,1.0116967912228936
5.186364,1.576272,0.0,0.0,groundplane,groundplane,1423378.0,1442418.0,1.0133766286865635
-0.3954545,-0.3511144,0.0,0.0,groundplane,groundplane,1444599.0,1444655.0,1.000038764390645
0.2423232,-0.1369603,0.0,0.0,groundplane,groundplane,1451319.0,1504732.0,1.036803072903474
0.880101,0.07719372,0.0,0.0,groundplane,groundplane,1491853.0,1513046.0,1.0142058225480621
1.517879,0.2913478,0.0,0.0,groundplane,groundplane,1473427.0,1496258.0,1.0154951680568531
2.155657,0.5055018,0.0,0.0,groundplane,groundplane,1443480.0,1461631.0,1.0125744721003587
2.793434,0.7196559,0.0,0.0,groundplane,groundplane,1478890.0,1489695.0,1.0073061546110218
3.431212,0.9338099,0.0,0.0,groundplane,groundplane,1521096.0,1492942.0,0.9814909769130344
4.06899,1.147964,0.0,0.0,groundplane,groundplane,1487942.0,1450102.0,0.974568900552193
4.706768,1.362118,0.0,0.0,groundplane,groundplane,1429008.0,1443921.0,1.010435910078575
5.344545,1.576272,0.0,0.0,groundplane,groundplane,1420988.0,1440054.0,1.0134174243460061
-0.2372727,-0.3511144,0.0,0.0,groundplane,groundplane,1445794.0,1483557.0,1.0261192112941961
0.4005051,-0.1369603,0.0,0.0,groundplane,groundplane,1524395.0,1556954.0,1.0213586366910423
1.038283,0.07719372,0.0,0.0,groundplane,groundplane,1506779.0,1525583.0,1.0124795998534095
1.676061,0.2913478,0.0,0.0,groundplane,groundplane,1457177.0,1479433.0,1.0152733669174896
2.313838,0.5055018,0.0,0.0,groundplane,groundplane,1461466.0,1487857.0,1.0180578945948398
2.951616,0.7196559,0.0,0.0,groundplane,groundplane,1500073.0,1478290.0,0.9854787060459866
3.589394,0.9338099,0.0,0.0,groundplane,groundplane,1517300.0,1480216.0,0.9755592163872938
4.227172,1.147964,0.0,0.0,groundplane,groundplane,1468257.0,1474828.0,1.0044753738586125
4.864949,1.362118,0.0,0.0,groundplane,groundplane,1418847.0,1442958.0,1.0169933748903206
5.502727,1.576272,0.0,0.0,groundplane,groundplane,1476322.0,1441741.0,0.9765762476095484
-0.07909091,-0.3511144,0.0,0.0,groundplane,groundplane,1448846.0,1489929.0,1.0283556699412115
0.5586869,-0.1369603,0.0,0.0,groundplane,groundplane,1520998.0,1550464.0,1.0193728058686646
1.196465,0.07719372,0.0,0.0,groundplane,groundplane,1504567.0,1521833.0,1.0114757262312175
1.834242,0.2913478,0.0,0.0,groundplane,groundplane,1450471.0,1464984.0,1.0100057146885353
2.47202,0.5055018,0.0,0.0,groundplane,groundplane,1466193.0,1487713.0,1.0146774667354999
3.109798,0.7196559,0.0,0.0,groundplane,groundplane,1499745.0,1480389.0,0.9870938052888366
3.747576,0.9338099,0.0,0.0,groundplane,groundplane,1506496.0,1468228.0,0.9745980069149882
4.385354,1.147964,0.0,0.0,groundplane,groundplane,1453184.0,1461722.0,1.005875373658205
5.023131,1.362118,0.0,0.0,groundplane,groundplane,1416456.0,1440594.0,1.0170411216324113
5.660909,1.576272,0.0,0.0,groundplane,groundplane,1480706.0,1445363.0,0.9761309801026463
0.07909091,-0.3511144,0.0,0.0,groundplane,groundplane,1451899.0,1496300.0,1.030581327605721
0.7168687,-0.1369603,0.0,0.0,groundplane,groundplane,1517600.0,1543976.0,1.0173800731303506
