x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
-0.4238182,-0.5811214,0.0,0.0,groundplane,groundplane,1599280.0,1604711.0,1.0033959025290156
0.1357374,-0.221163,0.0,0.0,groundplane,groundplane,1619099.0,1631704.0,1.00778519348861
0.6952929,0.1387954,0.0,0.0,groundplane,groundplane,1601961.0,1606432.0,1.002790953710614
1.254848,0.4987539,0.0,0.0,groundplane,groundplane,1565074.0,1557687.0,0.9952800947461398
1.814404,0.8587123,0.0,0.0,groundplane,groundplane,1518288.0,1539335.0,1.0138623232128146
2.37396,1.218671,0.0,0.0,groundplane,groundplane,1547899.0,1550123.0,1.0014367856033006
2.933515,1.578629,0.0,0.0,groundplane,groundplane,1601228.0,1558075.0,0.9730500584719666
3.493071,1.938588,0.0,0.0,groundplane,groundplane,1601084.0,1617985.0,1.0105559726969005
4.052626,2.298546,0.0,0.0,groundplane,groundplane,1585698.0,1601056.0,1.0096853240593826
4.612182,2.658504,0.0,0.0,groundplane,groundplane,1587491.0,1593706.0,1.0039149821927085
-0.3296364,-0.5811214,0.0,0.0,groundplane,groundplane,1611931.0,1618170.0,1.003870512445092
0.2299192,-0.221163,0.0,0.0,groundplane,groundplane,1619754.0,1632706.0,1.0079962753553957
0.7894747,0.1387954,0.0,0.0,groundplane,groundplane,1602616.0,1607434.0,1.0030063340170032
1.34903,0.4987539,0.0,0.0,groundplane,groundplane,1559701.0,1552436.0,0.9953420553071762
1.908586,0.8587123,0.0,0.0,groundplane,groundplane,1518910.0,1537848.0,1.0124681508368052
2.468141,1.218671,0.0,0.0,groundplane,groundplane,1553328.0,1549820.0,0.9977416225048789
3.027697,1.578629,0.0,0.0,groundplane,groundplane,1602889.0,1557772.0,0.9718526978650096
3.587253,1.938588,0.0,0.0,groundplane,groundplane,1596217.0,1613600.0,1.0108901227020575
4.146808,2.298546,0.0,0.0,groundplane,groundplane,1591558.0,1597778.0,1.0039081195885364
4.706364,2.658504,0.0,0.0,groundplane,groundplane,1587633.0,1592105.0,1.0028167712545553
-0.2354545,-0.5811214,0.0,0.0,groundplane,groundplane,1618174.0,1626194.0,1.004956203099941
0.324101,-0.221163,0.0,0.0,groundplane,groundplane,1620409.0,1633709.0,1.0082078037037514
0.8836566,0.1387954,0.0,0.0,groundplane,groundplane,1552030.0,1585773.0,1.0217412027977932
1.443212,0.4987539,0.0,0.0,groundplane,groundplane,1554328.0,1547223.0,0.9954288921029353
2.002768,0.8587123,0.0,0.0,groundplane,groundplane,1519533.0,1536495.0,1.011162639435167
2.562323,1.218671,0.0,0.0,groundplane,groundplane,1561624.0,1549517.0,0.9922471728199316
3.121879,1.578629,0.0,0.0,groundplane,groundplane,1602288.0,1616044.0,1.008585222501457
3.681434,1.938588,0.0,0.0,groundplane,groundplane,1591350.0,1609215.0,1.0112263166423312
4.24099,2.298546,0.0,0.0,groundplane,groundplane,1589410.0,1594500.0,1.0032024455595459
4.800545,2.658504,0.0,0.0,groundplane,groundplane,1587776.0,1590504.0,1.001718125855462
-0.1412727,-0.5811214,0.0,0.0,groundplane,groundplane,1624732.0,1636267.0,1.0070996318118315
0.4182828,-0.221163,0.0,0.0,groundplane,groundplane,1621064.0,1634712.0,1.0084191611136766
0.9778384,0.1387954,0.0,0.0,groundplane,groundplane,1549834.0,1581272.0,1.0202847524184624
1.537394,0.4987539,0.0,0.0,groundplane,groundplane,1548955.0,1545135.0,0.99753382054512
2.096949,0.8587123,0.0,0.0,groundplane,groundplane,1523604.0,1535812.0,1.008012580035224
2.656505,1.218671,0.0,0.0,groundplane,groundplane,1570024.0,1549214.0,0.9867454249191443
3.216061,1.578629,0.0,0.0,groundplane,groundplane,1600549.0,1611659.0,1.0069413676138992
3.775616,1.938588,0.0,0.0,groundplane,groundplane,1586482.0,1604830.0,1.0115652109437328
4.335172,2.298546,0.0,0.0,groundplane,groundplane,1588342.0,1591222.0,1.0018132108816533
4.894727,2.658504,0.0,0.0,groundplane,groundplane,1587919.0,1588904.0,1.0006203080883722
-0.04709091,-0.5811214,0.0,0.0,groundplane,groundplane,1632686.0,1650718.0,1.0110443765604382
0.5124646,-0.221163,0.0,0.0,groundplane,groundplane,1621719.0,1635715.0,1.008630347792293
1.07202,0.1387954,0.0,0.0,groundplane,groundplane,1547639.0,1576782.0,1.0188306181100175
1.631576,0.4987539,0.0,0.0,groundplane,groundplane,1543582.0,1544526.0,1.0006115638815356
2.191131,0.8587123,0.0,0.0,groundplane,groundplane,1529080.0,1535991.0,1.004519710541947
2.750687,1.218671,0.0,0.0,groundplane,groundplane,1580086.0,1548911.0,0.9802700606294404
3.310242,1.578629,0.0,0.0,groundplane,groundplane,1597721.0,1607274.0,1.0059791409100969
3.869798,1.938588,0.0,0.0,groundplane,groundplane,1581614.0,1599506.0,1.0113124940653584
4.429354,2.298546,0.0,0.0,groundplane,groundplane,1589570.0,1590632.0,1.000668104581322
4.988909,2.658504,0.0,0.0,groundplane,groundplane,1588062.0,1587303.0,0.9995220583330361
0.04709091,-0.5811214,0.0,0.0,groundplane,groundplane,1639512.0,1661990.0,1.0137101765563716
0.6066465,-0.221163,0.0,0.0,groundplane,groundplane,1622375.0,1636718.0,1.00884074211644
1.166202,0.1387954,0.0,0.0,groundplane,groundplane,1546877.0,1572158.0,1.016343250939575
1.725758,0.4987539,0.0,0.0,groundplane,groundplane,1546744.0,1547026.0,1.0001823178236462
2.285313,0.8587123,0.0,0.0,groundplane,groundplane,1536973.0,1537622.0,1.0004222579053619
2.844869,1.218671,0.0,0.0,groundplane,groundplane,1597757.0,1548608.0,0.9692387509682394
3.404424,1.578629,0.0,0.0,groundplane,groundplane,1593558.0,1602889.0,1.0058554498764052
3.96398,1.938588,0.0,0.0,groundplane,groundplane,1578184.0,1591701.0,1.008564906874886
4.523535,2.298546,0.0,0.0,groundplane,groundplane,1593248.0,1591048.0,0.9986191722828969
5.083091,2.658504,0.0,0.0,groundplane,groundplane,1608082.0,1628386.0,1.0126262211674366
0.1412727,-0.5811214,0.0,0.0,groundplane,groundplane,1640167.0,1662993.0,1.013916874919495
0.7008283,-0.221163,0.0,0.0,groundplane,groundplane,1588677.0,1633742.0,1.0283663696091991
1.260384,0.1387954,0.0,0.0,groundplane,groundplane,1550090.0,1567272.0,1.0110845170208926
1.819939,0.4987539,0.0,0.0,groundplane,groundplane,1547366.0,1549289.0,1.001242756399428
2.379495,0.8587123,0.0,0.0,groundplane,groundplane,1544406.0,1540353.0,0.9973756894253353
2.939051,1.218671,0.0,0.0,groundplane,groundplane,1597146.0,1548304.0,0.9694192008937071
3.498606,1.578629,0.0,0.0,groundplane,groundplane,1587266.0,1598504.0,1.007080098101339
4.058162,1.938588,0.0,0.0,groundplane,groundplane,1577019.0,1583433.0,1.0040671665946528
4.617717,2.298546,0.0,0.0,groundplane,groundplane,1598111.0,1589447.0,0.9945785987365218
5.177273,2.658504,0.0,0.0,groundplane,groundplane,1606523.0,1629677.0,1.014412491439953
0.2354545,-0.5811214,0.0,0.0,groundplane,groundplane,1640822.0,1663996.0,1.0141234082587123
0.7950101,-0.221163,0.0,0.0,groundplane,groundplane,1571400.0,1624385.0,1.033718339675628
1.354566,0.1387954,0.0,0.0,groundplane,groundplane,1552864.0,1561176.0,1.0053526896074914
1.914121,0.4987539,0.0,0.0,groundplane,groundplane,1547988.0,1546367.0,0.9989528336143738
2.473677,0.8587123,0.0,0.0,groundplane,groundplane,1546500.0,1540050.0,0.995829291305639
3.033232,1.218671,0.0,0.0,groundplane,groundplane,1596535.0,1548001.0,0.9696004152933695
3.592788,1.578629,0.0,0.0,groundplane,groundplane,1582399.0,1594119.0,1.007406475226914
4.152343,1.938588,0.0,0.0,groundplane,groundplane,1574871.0,1580156.0,1.0033558297769432
4.711899,2.298546,0.0,0.0,groundplane,groundplane,1598254.0,1587847.0,0.9934885187251286
5.271455,2.658504,0.0,0.0,groundplane,groundplane,1604964.0,1630967.0,1.0162016088733445
0.3296364,-0.5811214,0.0,0.0,groundplane,groundplane,1641478.0,1664999.0,1.0143291588347032
0.8891919,-0.221163,0.0,0.0,groundplane,groundplane,1569204.0,1615121.0,1.0292613318413277
1.448747,0.1387954,0.0,0.0,groundplane,groundplane,1563471.0,1563030.0,0.9997179346468736
2.008303,0.4987539,0.0,0.0,groundplane,groundplane,1548611.0,1543444.0,0.9966634610004298
