x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
-0.7118182,-0.3511144,3.073451,3.055881,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2019898.0,305375.8,0.15118377257109825
-0.7118182,-0.2758974,3.130131,3.112561,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2025144.0,306004.7,0.15110268694418635
-0.7118182,-0.2006805,3.186811,3.169241,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2030386.0,306634.4,0.1510227118631518
-0.7118182,-0.1254635,3.243491,3.225921,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2035627.0,307264.2,0.15094327194965323
-0.7118182,-0.05024659,3.300172,3.282602,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2040869.0,307894.1,0.15086421512068426
-0.7118182,0.02497036,3.356852,3.339282,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2041948.0,313375.6,0.1534689423269011
-0.7118182,0.1001873,3.413532,3.395962,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2044918.0,314354.7,0.15372484365939132
-0.7118182,0.1754042,3.470212,3.452642,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2047883.0,315334.9,0.1539809158267436
-0.7118182,0.2506212,3.526892,3.509322,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2050848.0,316315.2,0.1542362963251122
-0.7118182,0.3258381,3.583572,3.566002,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2053814.0,317295.5,0.1544908642386843
-0.5536364,-0.3511144,3.073451,3.055881,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2019615.0,304955.4,0.15099679882007375
-0.5536364,-0.2758974,3.130131,3.112561,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2025853.0,305939.8,0.15101776873691342
-0.5536364,-0.2006805,3.186811,3.169241,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2031050.0,307531.2,0.15141488385248278
-0.5536364,-0.1254635,3.243491,3.225921,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2035192.0,309250.5,0.15195151113410849
-0.5536364,-0.05024659,3.300172,3.282602,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2038170.0,311116.1,0.15264482346779473
-0.5536364,0.02497036,3.356852,3.339282,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2041135.0,313191.3,0.15343977730358854
-0.5536364,0.1001873,3.413532,3.395962,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2044101.0,314319.7,0.1537691629945051
-0.5536364,0.1754042,3.470212,3.452642,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2047066.0,315299.9,0.15402527316948977
-0.5536364,0.2506212,3.526892,3.509322,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,2050032.0,316280.2,0.15428061603219823
