x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
0.4238182,0.7121175,0.0,0.0,groundplane,groundplane,1268664.0,1274691.0,1.004750666051255
0.5389293,1.712117,0.0,0.0,groundplane,groundplane,1634258.0,1624876.0,0.9942591677726166
0.6540404,2.712117,0.0,0.0,groundplane,groundplane,2061739.0,2070980.0,1.0044821381346125
0.7691515,3.712117,0.0,0.0,groundplane,groundplane,2147624.0,2129581.0,0.9915986220159587
0.8842626,4.712117,0.0,0.0,groundplane,groundplane,2140182.0,2147063.0,1.0032151466542494
0.9993737,5.712117,0.0,0.0,groundplane,groundplane,2104597.0,2123202.0,1.0088401717721538
1.114485,6.712117,0.0,0.0,groundplane,groundplane,1909242.0,1924514.0,1.0079989854570564
1.229596,7.712117,0.0,0.0,groundplane,groundplane,1516985.0,1501696.0,0.9899214553934802
1.344707,8.712117,0.0,0.0,groundplane,groundplane,1341035.0,1339983.0,0.9992155305422935
1.459818,9.712117,0.0,0.0,groundplane,groundplane,1279833.0,1279419.0,0.9996765195149082
0.3296364,0.7121175,0.0,0.0,groundplane,groundplane,1270811.0,1276465.0,1.004449126577871
0.4447475,1.712117,0.0,0.0,groundplane,groundplane,1635586.0,1626116.0,0.9942100256457258
0.5598586,2.712117,0.0,0.0,groundplane,groundplane,2063524.0,2073292.0,1.0047336493276873
0.6749697,3.712117,0.0,0.0,groundplane,groundplane,2147879.0,2129832.0,0.9915977571401379
0.7900808,4.712117,0.0,0.0,groundplane,groundplane,2140430.0,2147310.0,1.0032143069368238
0.9051919,5.712117,0.0,0.0,groundplane,groundplane,2105310.0,2124157.0,1.008952125335959
1.020303,6.712117,0.0,0.0,groundplane,groundplane,1911336.0,1923928.0,1.0065880614363
1.135414,7.712117,0.0,0.0,groundplane,groundplane,1517793.0,1502600.0,0.9899900704575723
1.250525,8.712117,0.0,0.0,groundplane,groundplane,1341530.0,1340674.0,0.9993619218359918
1.365636,9.712117,0.0,0.0,groundplane,groundplane,1280124.0,1279485.0,0.9995008288263475
0.2354545,0.7121175,0.0,0.0,groundplane,groundplane,1272957.0,1278239.0,1.0041493931027135
0.3505657,1.712117,0.0,0.0,groundplane,groundplane,1636914.0,1627355.0,0.9941603523495063
0.4656768,2.712117,0.0,0.0,groundplane,groundplane,2065310.0,2075606.0,1.0049852075451216
0.5807879,3.712117,0.0,0.0,groundplane,groundplane,2148134.0,2130082.0,0.9915964269493446
0.695899,4.712117,0.0,0.0,groundplane,groundplane,2140678.0,2147558.0,1.003213934555681
0.8110101,5.712117,0.0,0.0,groundplane,groundplane,2106022.0,2125113.0,1.009064957056923
0.9261212,6.712117,0.0,0.0,groundplane,groundplane,1913430.0,1923342.0,1.0051802255608095
1.041232,7.712117,0.0,0.0,groundplane,groundplane,1518601.0,1503505.0,0.9900592710066309
1.156343,8.712117,0.0,0.0,groundplane,groundplane,1342026.0,1341365.0,0.9995074603625359
1.271455,9.712117,0.0,0.0,groundplane,groundplane,1280416.0,1279552.0,0.9993252185232572
0.1412727,0.7121175,0.0,0.0,groundplane,groundplane,1275104.0,1280013.0,1.003849881261568
0.2563838,1.712117,0.0,0.0,groundplane,groundplane,1638241.0,1628594.0,0.994111366402067
0.3714949,2.712117,0.0,0.0,groundplane,groundplane,2067096.0,2077919.0,1.005235847292416
0.4866061,3.712117,0.0,0.0,groundplane,groundplane,2148390.0,2130333.0,0.9915951009865084
0.6017172,4.712117,0.0,0.0,groundplane,groundplane,2140926.0,2147805.0,1.003213095173204
0.7168283,5.712117,0.0,0.0,groundplane,groundplane,2106734.0,2126069.0,1.0091777125117942
0.8319394,6.712117,0.0,0.0,groundplane,groundplane,1915524.0,1922756.0,1.0037754677029496
0.9470505,7.712117,0.0,0.0,groundplane,groundplane,1519409.0,1504410.0,0.990128397955963
1.062162,8.712117,0.0,0.0,groundplane,groundplane,1342521.0,1342056.0,0.9996536359582803
1.177273,9.712117,0.0,0.0,groundplane,groundplane,1280708.0,1279618.0,0.9991489074799651
