x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
-0.4238182,-0.6868549,0.12,0.12,groundplane,groundplane,1881054.0,1890635.0,1.005093420494524
0.1357374,-0.4541916,0.12,0.12,groundplane,groundplane,1920898.0,1922555.0,1.0008626168589574
0.6952929,-0.2215282,0.12,0.12,groundplane,groundplane,2014364.0,2008733.0,0.9972045762348788
1.254848,0.01113517,0.12,0.12,groundplane,groundplane,2077667.0,2061504.0,0.9922206008026212
1.814404,0.2437985,0.12,0.12,groundplane,groundplane,2080865.0,2072537.0,0.9959978177363752
2.37396,0.4764619,0.12,0.12,groundplane,groundplane,2082536.0,2095310.0,1.006133867070661
2.933515,0.7091253,0.12,0.12,groundplane,groundplane,2089530.0,2055213.0,0.98357668902405
3.493071,0.9417886,0.12,0.12,groundplane,groundplane,2080221.0,2067197.0,0.9937391262785353
4.052626,1.174452,0.12,0.12,groundplane,groundplane,2019144.0,1974304.0,0.9777925690402505
4.612182,1.407115,0.12,0.12,groundplane,groundplane,1929478.0,1928197.0,0.9993360893467891
-0.3296364,-0.6868549,0.12,0.12,groundplane,groundplane,1871654.0,1883984.0,1.006587755532493
0.2299192,-0.4541916,0.12,0.12,groundplane,groundplane,1930808.0,1932602.0,1.0009291441712853
0.7894747,-0.2215282,0.12,0.12,groundplane,groundplane,2037320.0,2025196.0,0.9940490443356719
1.34903,0.01113517,0.12,0.12,groundplane,groundplane,2083104.0,2065201.0,0.9914056134540543
1.908586,0.2437985,0.12,0.12,groundplane,groundplane,2082129.0,2074556.0,0.9963628569620985
2.468141,0.4764619,0.12,0.12,groundplane,groundplane,2083259.0,2097731.0,1.0069468073787529
3.027697,0.7091253,0.12,0.12,groundplane,groundplane,2090252.0,2055209.0,0.9832350353052001
3.587253,0.9417886,0.12,0.12,groundplane,groundplane,2079336.0,2064889.0,0.9930521084648888
4.146808,1.174452,0.12,0.12,groundplane,groundplane,2009528.0,1969106.0,0.9798848281885673
4.706364,1.407115,0.12,0.12,groundplane,groundplane,1924109.0,1924430.0,1.0001668299456181
-0.2354545,-0.6868549,0.12,0.12,groundplane,groundplane,1862253.0,1877333.0,1.0080977176527048
0.324101,-0.4541916,0.12,0.12,groundplane,groundplane,1940152.0,1942650.0,1.0012875274714108
0.8836566,-0.2215282,0.12,0.12,groundplane,groundplane,2059044.0,2040293.0,0.9908933461398137
1.443212,0.01113517,0.12,0.12,groundplane,groundplane,2087032.0,2067904.0,0.9908348309988372
2.002768,0.2437985,0.12,0.12,groundplane,groundplane,2083284.0,2077871.0,0.9974016979934557
2.562323,0.4764619,0.12,0.12,groundplane,groundplane,2083981.0,2100152.0,1.007759667190939
3.121879,0.7091253,0.12,0.12,groundplane,groundplane,2090199.0,2061049.0,0.9860539589837839
3.681434,0.9417886,0.12,0.12,groundplane,groundplane,2075880.0,2053136.0,0.9890436822027074
4.24099,1.174452,0.12,0.12,groundplane,groundplane,1999912.0,1963907.0,0.9819967073641257
4.800545,1.407115,0.12,0.12,groundplane,groundplane,1918741.0,1920663.0,1.0010016979878984
-0.1412727,-0.6868549,0.12,0.12,groundplane,groundplane,1871291.0,1871945.0,1.0003494908058932
0.4182828,-0.4541916,0.12,0.12,groundplane,groundplane,1951911.0,1967528.0,1.008000876572753
0.9778384,-0.2215282,0.12,0.12,groundplane,groundplane,2071330.0,2051976.0,0.9906562445430442
1.537394,0.01113517,0.12,0.12,groundplane,groundplane,2087059.0,2069551.0,0.9916111614517792
2.096949,0.2437985,0.12,0.12,groundplane,groundplane,2083366.0,2083096.0,0.9998704015521659
2.656505,0.4764619,0.12,0.12,groundplane,groundplane,2084704.0,2091096.0,1.0030661422422242
3.216061,0.7091253,0.12,0.12,groundplane,groundplane,2089253.0,2067626.0,0.9896484528251732
3.775616,0.9417886,0.12,0.12,groundplane,groundplane,2068570.0,2039337.0,0.9858680146256265
4.335172,1.174452,0.12,0.12,groundplane,groundplane,1990295.0,1960096.0,0.9848268719034983
4.894727,1.407115,0.12,0.12,groundplane,groundplane,1913373.0,1916896.0,1.0018412505027294
-0.04709091,-0.6868549,0.12,0.12,groundplane,groundplane,1912938.0,1903249.0,0.9949350156696479
0.5124646,-0.4541916,0.12,0.12,groundplane,groundplane,1975614.0,1988164.0,1.0063524549803997
1.07202,-0.2215282,0.12,0.12,groundplane,groundplane,2071334.0,2058385.0,0.9937484727263936
1.631576,0.01113517,0.12,0.12,groundplane,groundplane,2085854.0,2070705.0,0.9927372668495795
2.191131,0.2437985,0.12,0.12,groundplane,groundplane,2081650.0,2088702.0,1.00338769677737
2.750687,0.4764619,0.12,0.12,groundplane,groundplane,2085426.0,2080224.0,0.9975055451512039
3.310242,0.7091253,0.12,0.12,groundplane,groundplane,2088307.0,2075621.0,0.9939252222044339
3.869798,0.9417886,0.12,0.12,groundplane,groundplane,2056610.0,2024415.0,0.9843455973741518
4.429354,1.174452,0.12,0.12,groundplane,groundplane,1970414.0,1957530.0,0.9934612721014664
4.988909,1.407115,0.12,0.12,groundplane,groundplane,1923445.0,1900122.0,0.9878743603337375
0.04709091,-0.6868549,0.12,0.12,groundplane,groundplane,1922848.0,1913296.0,0.9950323681356861
0.6066465,-0.4541916,0.12,0.12,groundplane,groundplane,1998561.0,2001364.0,1.0014025086042395
1.166202,-0.2215282,0.12,0.12,groundplane,groundplane,2071663.0,2061931.0,0.9953023242702591
1.725758,0.01113517,0.12,0.12,groundplane,groundplane,2083111.0,2071350.0,0.9943541169940756
2.285313,0.2437985,0.12,0.12,groundplane,groundplane,2079155.0,2094824.0,1.0075362341876695
2.844869,0.4764619,0.12,0.12,groundplane,groundplane,2086149.0,2067963.0,0.9912825013978952
3.404424,0.7091253,0.12,0.12,groundplane,groundplane,2087361.0,2077818.0,0.9954281980953806
3.96398,0.9417886,0.12,0.12,groundplane,groundplane,2041425.0,2007465.0,0.9833645610378219
4.523535,1.174452,0.12,0.12,groundplane,groundplane,1955152.0,1955604.0,1.0002311835600346
5.083091,1.407115,0.12,0.12,groundplane,groundplane,1934294.0,1909436.0,0.9871487989999717
0.1412727,-0.6868549,0.12,0.12,groundplane,groundplane,1932758.0,1923344.0,0.995129239669359
0.7008283,-0.4541916,0.12,0.12,groundplane,groundplane,2021509.0,2014563.0,0.9965639524748275
1.260384,-0.2215282,0.12,0.12,groundplane,groundplane,2077100.0,2065628.0,0.9944769144506875
1.819939,0.01113517,0.12,0.12,groundplane,groundplane,2084738.0,2071159.0,0.9934864712047814
2.379495,0.2437985,0.12,0.12,groundplane,groundplane,2079878.0,2097940.0,1.0086841627207537
2.939051,0.4764619,0.12,0.12,groundplane,groundplane,2086871.0,2060260.0,0.987248372809221
3.498606,0.7091253,0.12,0.12,groundplane,groundplane,2086415.0,2075510.0,0.9947733308115724
4.058162,0.9417886,0.12,0.12,groundplane,groundplane,2031808.0,1992642.0,0.9807235718233596
4.617717,1.174452,0.12,0.12,groundplane,groundplane,1946992.0,1952141.0,1.002644591758649
5.177273,1.407115,0.12,0.12,groundplane,groundplane,1945143.0,1918750.0,0.9864313312767076
0.2354545,-0.6868549,0.12,0.12,groundplane,groundplane,1942669.0,1933392.0,0.9952246105768793
0.7950101,-0.4541916,0.12,0.12,groundplane,groundplane,2044456.0,2027763.0,0.9918349913170863
1.354566,-0.2215282,0.12,0.12,groundplane,groundplane,2082537.0,2069326.0,0.9936562947051331
1.914121,0.01113517,0.12,0.12,groundplane,groundplane,2087665.0,2071304.0,0.992163014184669
2.473677,0.2437985,0.12,0.12,groundplane,groundplane,2080600.0,2100360.0,1.009497259920457
3.033232,0.4764619,0.12,0.12,groundplane,groundplane,2087594.0,2059027.0,0.9863158253059188
3.592788,0.7091253,0.12,0.12,groundplane,groundplane,2085469.0,2073202.0,0.9941178694125313
4.152343,0.9417886,0.12,0.12,groundplane,groundplane,2022192.0,1987443.0,0.9828161712721561
4.711899,1.174452,0.12,0.12,groundplane,groundplane,1939285.0,1938062.0,0.9993693546851704
5.271455,1.407115,0.12,0.12,groundplane,groundplane,1955992.0,1928065.0,0.9857223337387258
0.3296364,-0.6868549,0.12,0.12,groundplane,groundplane,1952579.0,1943440.0,0.9953195230537052
0.8891919,-0.4541916,0.12,0.12,groundplane,groundplane,2067403.0,2040962.0,0.9872105240307717
1.448747,-0.2215282,0.12,0.12,groundplane,groundplane,2087974.0,2073023.0,0.9928394697477845
2.008303,0.01113517,0.12,0.12,groundplane,groundplane,2090591.0,2073323.0,0.9917401342530701
2.567859,0.2437985,0.12,0.12,groundplane,groundplane,2081323.0,2102781.0,1.0103097880481262
3.127414,0.4764619,0.12,0.12,groundplane,groundplane,2088316.0,2057794.0,0.985384395376282
3.68697,0.7091253,0.12,0.12,groundplane,groundplane,2084282.0,2070894.0,0.9935766844440548
4.246525,0.9417886,0.12,0.12,groundplane,groundplane,2012576.0,1982245.0,0.9849292642936569
4.806081,1.174452,0.12,0.12,groundplane,groundplane,1921395.0,1917283.0,0.9978598877389293
5.365636,1.407115,0.12,0.12,groundplane,groundplane,1924359.0,1958788.0,1.0178911517976161
0.4238182,-0.6868549,0.12,0.12,groundplane,groundplane,1954944.0,1950639.0,0.99779789037548
0.9833737,-0.4541916,0.12,0.12,groundplane,groundplane,2068906.0,2056792.0,0.9941447310829276
1.542929,-0.2215282,0.12,0.12,groundplane,groundplane,2091410.0,2076720.0,0.9929760300500734
2.102485,0.01113517,0.12,0.12,groundplane,groundplane,2093518.0,2075342.0,0.9913179628781229
2.66204,0.2437985,0.12,0.12,groundplane,groundplane,2082046.0,2105202.0,1.0111217518675757
3.221596,0.4764619,0.12,0.12,groundplane,groundplane,2089039.0,2063453.0,0.9877522626491165
3.781152,0.7091253,0.12,0.12,groundplane,groundplane,2078596.0,2067692.0,0.99475415088129
4.340707,0.9417886,0.12,0.12,groundplane,groundplane,2002960.0,1978412.0,0.9877441381816192
4.900263,1.174452,0.12,0.12,groundplane,groundplane,1917740.0,1906565.0,0.99417282791506
5.459818,1.407115,0.12,0.12,groundplane,groundplane,1937881.0,1973702.0,1.0184846226272488
