x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
0.4238182,0.7046507,0.0,0.0,groundplane,groundplane,1199314.0,1206758.0,1.006206880761663
0.7611515,0.9168729,0.0,0.0,groundplane,groundplane,1208953.0,1213394.0,1.0036734256801767
1.098485,1.129095,0.0,0.0,groundplane,groundplane,1167227.0,1166710.0,0.9995570690195164
1.435818,1.341317,0.0,0.0,groundplane,groundplane,1154025.0,1155647.0,1.001405514610684
1.773152,1.55354,0.0,0.0,groundplane,groundplane,1140908.0,1139508.0,0.9987729063177988
2.110485,1.765762,0.0,0.0,groundplane,groundplane,1137122.0,1132549.0,0.995978442949852
2.447818,1.977984,0.0,0.0,groundplane,groundplane,1125005.0,1137768.0,1.0113448375684155
2.785152,2.190206,0.0,0.0,groundplane,groundplane,1158123.0,1140273.0,0.9845871284962072
3.122485,2.402428,0.0,0.0,groundplane,groundplane,1177459.0,1185420.0,1.006761168748329
3.459818,2.614651,0.0,0.0,groundplane,groundplane,1196700.0,1217510.0,1.0173894869078388
0.3296364,0.7046507,0.0,0.0,groundplane,groundplane,1196553.0,1202483.0,1.0049559016567124
0.6669697,0.9168729,0.0,0.0,groundplane,groundplane,1200102.0,1205461.0,1.0044654529327797
1.004303,1.129095,0.0,0.0,groundplane,groundplane,1171080.0,1178479.0,1.0063180986727482
1.341636,1.341317,0.0,0.0,groundplane,groundplane,1157879.0,1159908.0,1.0017523411325775
1.67897,1.55354,0.0,0.0,groundplane,groundplane,1144075.0,1140773.0,0.997113824708071
2.016303,1.765762,0.0,0.0,groundplane,groundplane,1140288.0,1133814.0,0.9943224860786728
2.353636,1.977984,0.0,0.0,groundplane,groundplane,1121849.0,1130608.0,1.0078076452287184
2.69097,2.190206,0.0,0.0,groundplane,groundplane,1146299.0,1138124.0,0.9928683519807063
3.028303,2.402428,0.0,0.0,groundplane,groundplane,1165544.0,1174872.0,1.0080031290041362
3.365636,2.614651,0.0,0.0,groundplane,groundplane,1194403.0,1211496.0,1.0143109143109061
0.2354545,0.7046507,0.0,0.0,groundplane,groundplane,1193792.0,1198209.0,1.0036999736941612
0.5727879,0.9168729,0.0,0.0,groundplane,groundplane,1203431.0,1208010.0,1.0038049535006122
0.9101212,1.129095,0.0,0.0,groundplane,groundplane,1174934.0,1188554.0,1.0115921396337224
1.247455,1.341317,0.0,0.0,groundplane,groundplane,1161732.0,1166985.0,1.004521696049931
1.584788,1.55354,0.0,0.0,groundplane,groundplane,1147241.0,1142066.0,0.9954891770818084
1.922121,1.765762,0.0,0.0,groundplane,groundplane,1143455.0,1135078.0,0.9926739565678808
2.259455,1.977984,0.0,0.0,groundplane,groundplane,1118692.0,1123447.0,1.0042504987930096
2.596788,2.190206,0.0,0.0,groundplane,groundplane,1134374.0,1139554.0,1.0045663943244765
2.934121,2.402428,0.0,0.0,groundplane,groundplane,1158429.0,1158777.0,1.0003004059805993
3.271455,2.614651,0.0,0.0,groundplane,groundplane,1192884.0,1203289.0,1.008722557257267
0.1412727,0.7046507,0.0,0.0,groundplane,groundplane,1191031.0,1193934.0,1.0024373832398676
0.4786061,0.9168729,0.0,0.0,groundplane,groundplane,1200670.0,1208203.0,1.0062739961802378
0.8159394,1.129095,0.0,0.0,groundplane,groundplane,1178787.0,1195535.0,1.0142078246415953
1.153273,1.341317,0.0,0.0,groundplane,groundplane,1165586.0,1172654.0,1.0060639017575161
1.490606,1.55354,0.0,0.0,groundplane,groundplane,1150408.0,1144444.0,0.9948157514596424
1.827939,1.765762,0.0,0.0,groundplane,groundplane,1146621.0,1136343.0,0.9910362700569445
2.165273,1.977984,0.0,0.0,groundplane,groundplane,1115536.0,1116287.0,1.0006732180757294
2.502606,2.190206,0.0,0.0,groundplane,groundplane,1124780.0,1139194.0,1.0128149495787488
2.839939,2.402428,0.0,0.0,groundplane,groundplane,1154947.0,1145100.0,0.9914740667827406
3.177273,2.614651,0.0,0.0,groundplane,groundplane,1185652.0,1192962.0,1.0061653832607163
0.04709091,0.7046507,0.0,0.0,groundplane,groundplane,1188270.0,1176368.0,0.9899837570670103
0.3844242,0.9168729,0.0,0.0,groundplane,groundplane,1197908.0,1205724.0,1.0065247072341743
0.7217576,1.129095,0.0,0.0,groundplane,groundplane,1182641.0,1200133.0,1.01479062453036
1.059091,1.341317,0.0,0.0,groundplane,groundplane,1169439.0,1178323.0,1.0075968041021406
1.396424,1.55354,0.0,0.0,groundplane,groundplane,1153986.0,1147552.0,0.9944245415503962
1.733758,1.765762,0.0,0.0,groundplane,groundplane,1149788.0,1137608.0,0.9894067419477272
2.071091,1.977984,0.0,0.0,groundplane,groundplane,1123747.0,1115844.0,0.9929672773382556
2.408424,2.190206,0.0,0.0,groundplane,groundplane,1120648.0,1131424.0,1.0096158642056954
2.745758,2.402428,0.0,0.0,groundplane,groundplane,1152677.0,1138115.0,0.987366798342149
3.083091,2.614651,0.0,0.0,groundplane,groundplane,1172221.0,1182108.0,1.0084344155168399
-0.04709091,0.7046507,0.0,0.0,groundplane,groundplane,1166271.0,1163798.0,0.9978795657288233
0.2902424,0.9168729,0.0,0.0,groundplane,groundplane,1195147.0,1203650.0,1.007114605143037
0.6275758,1.129095,0.0,0.0,groundplane,groundplane,1186494.0,1203123.0,1.0140152406889413
0.9649091,1.341317,0.0,0.0,groundplane,groundplane,1173293.0,1183992.0,1.0091187785070577
1.302242,1.55354,0.0,0.0,groundplane,groundplane,1160091.0,1151943.0,0.9929764122013046
1.639576,1.765762,0.0,0.0,groundplane,groundplane,1152954.0,1123381.0,0.9743502334227123
1.976909,1.977984,0.0,0.0,groundplane,groundplane,1120657.0,1113327.0,0.9934591931398643
2.314242,2.190206,0.0,0.0,groundplane,groundplane,1121508.0,1126206.0,1.0041890017688782
2.651576,2.402428,0.0,0.0,groundplane,groundplane,1144878.0,1134288.0,0.9907501052594687
2.988909,2.614651,0.0,0.0,groundplane,groundplane,1159779.0,1173490.0,1.0118220790238295
-0.1412727,0.7046507,0.0,0.0,groundplane,groundplane,1155508.0,1151228.0,0.9962960005501511
