x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
-0.4238182,-0.4919054,0.0,0.0,groundplane,groundplane,897239.1999999998,901391.8000000002,1.0046281961325052
-0.3087071,0.06698352,0.0,0.0,groundplane,groundplane,871884.6999999998,905161.6,1.0381666279518764
-0.193596,0.6258724,0.0,0.0,groundplane,groundplane,842320.9,806110.3000000002,0.9570109195236509
-0.07848485,1.184761,0.0,0.0,groundplane,groundplane,703773.9,708238.1999999998,1.006343371065134
0.03662626,1.74365,0.0,0.0,groundplane,groundplane,673878.0,661781.2,0.9820489747668731
0.1517374,2.302539,0.0,0.0,groundplane,groundplane,731709.6,719625.8000000002,0.9834855235144033
0.2668485,2.861428,0.0,0.0,groundplane,groundplane,800210.6,799104.1999999998,0.9986173627309891
0.3819596,3.420317,0.0,0.0,groundplane,groundplane,860432.6,860272.6,0.999814045865052
0.4970707,3.979206,0.0,0.0,groundplane,groundplane,904924.3000000002,892982.6999999998,0.9868037569697221
0.6121818,4.538095,0.0,0.0,groundplane,groundplane,905163.8000000002,903621.5,0.9982961083968489
-0.3296364,-0.4919054,0.0,0.0,groundplane,groundplane,896991.6999999998,901803.1999999998,1.0053640395943864
-0.2145253,0.06698352,0.0,0.0,groundplane,groundplane,873047.6,906777.8000000002,1.038635005653031
-0.09941414,0.6258724,0.0,0.0,groundplane,groundplane,843483.9,807638.0,0.9575025664894106
0.01569697,1.184761,0.0,0.0,groundplane,groundplane,705005.6999999998,708991.1,1.0056530025138053
0.1308081,1.74365,0.0,0.0,groundplane,groundplane,673169.4,662885.4,0.9847230117935797
0.2459192,2.302539,0.0,0.0,groundplane,groundplane,731796.1,720936.6999999998,0.9851606192146135
0.3610303,2.861428,0.0,0.0,groundplane,groundplane,801793.5,800416.0,0.9982819753486627
0.4761414,3.420317,0.0,0.0,groundplane,groundplane,860587.3000000002,861641.6999999998,1.0012252086438813
0.5912525,3.979206,0.0,0.0,groundplane,groundplane,904630.8000000002,893143.1999999998,0.9873013377531455
0.7063636,4.538095,0.0,0.0,groundplane,groundplane,905503.9,904969.9,0.9994102720050015
-0.2354545,-0.4919054,0.0,0.0,groundplane,groundplane,896744.1,902214.6,1.0061004014343664
-0.1203434,0.06698352,0.0,0.0,groundplane,groundplane,874210.6999999998,908394.1,1.039102013920555
-0.005232323,0.6258724,0.0,0.0,groundplane,groundplane,844646.9,809165.8000000002,0.9579929779438096
0.1098788,1.184761,0.0,0.0,groundplane,groundplane,706237.4,709743.9,1.0049650429091335
0.2249899,1.74365,0.0,0.0,groundplane,groundplane,672460.8,663989.4,0.9874023868939238
0.340101,2.302539,0.0,0.0,groundplane,groundplane,731882.5,722247.6,0.9868354537964283
0.4552121,2.861428,0.0,0.0,groundplane,groundplane,803376.3000000002,801727.6,0.9979477848699942
0.5703232,3.420317,0.0,0.0,groundplane,groundplane,860742.0,863010.9,1.0026359803487734
0.6854343,3.979206,0.0,0.0,groundplane,groundplane,904337.1999999998,893303.9,0.9877995718988455
0.8005455,4.538095,0.0,0.0,groundplane,groundplane,905844.1999999998,906318.5,1.0005235988699563
-0.1412727,-0.4919054,0.0,0.0,groundplane,groundplane,896496.5,902626.0,1.0068371700203658
-0.02616162,0.06698352,0.0,0.0,groundplane,groundplane,875373.6999999998,910010.1999999998,1.039567671453269
0.08894949,0.6258724,0.0,0.0,groundplane,groundplane,813514.1999999998,810693.5,0.9965326960530836
0.2040606,1.184761,0.0,0.0,groundplane,groundplane,707469.1,710496.8000000002,1.0042796201215298
0.3191717,1.74365,0.0,0.0,groundplane,groundplane,671752.2,665093.6,0.9900877124182285
0.4342828,2.302539,0.0,0.0,groundplane,groundplane,731968.8000000002,723558.6,0.9885101646565941
0.5493939,2.861428,0.0,0.0,groundplane,groundplane,804959.1999999998,803039.4,0.9976150331624076
0.6645051,3.420317,0.0,0.0,groundplane,groundplane,860896.8000000002,864380.1,1.0040461284046516
0.7796162,3.979206,0.0,0.0,groundplane,groundplane,904043.6999999998,893464.4,0.9882977991127003
0.8947273,4.538095,0.0,0.0,groundplane,groundplane,906184.4,907666.9,1.0016359793860543
-0.04709091,-0.4919054,0.0,0.0,groundplane,groundplane,896248.8000000002,903037.5,1.0075745696869276
0.0680202,0.06698352,0.0,0.0,groundplane,groundplane,876536.6999999998,911626.5,1.0400323214760634
0.1831313,0.6258724,0.0,0.0,groundplane,groundplane,814964.6999999998,812221.1999999998,0.9966335952997306
0.2982424,1.184761,0.0,0.0,groundplane,groundplane,708700.8000000002,711526.3000000002,1.0039868714639706
0.4133535,1.74365,0.0,0.0,groundplane,groundplane,671043.6,675357.8,1.0064290889497656
0.5284646,2.302539,0.0,0.0,groundplane,groundplane,732055.1999999998,724869.5,0.9901842087998499
0.6435758,2.861428,0.0,0.0,groundplane,groundplane,806542.0,802242.6,0.9946693402269573
0.7586869,3.420317,0.0,0.0,groundplane,groundplane,854964.8000000002,865749.3000000002,1.01261396841997
0.873798,3.979206,0.0,0.0,groundplane,groundplane,903750.1,893625.0,0.9887965699934124
0.9889091,4.538095,0.0,0.0,groundplane,groundplane,906524.6,909015.3000000002,1.0027475249951878
0.04709091,-0.4919054,0.0,0.0,groundplane,groundplane,896001.1999999998,908629.6999999998,1.014094288027634
0.162202,0.06698352,0.0,0.0,groundplane,groundplane,892002.8000000002,892368.3000000002,1.0004097509554792
0.2773131,0.6258724,0.0,0.0,groundplane,groundplane,816415.1999999998,796152.9,0.9751813771042219
0.3924242,1.184761,0.0,0.0,groundplane,groundplane,709932.5,712370.8000000002,1.0034345504629885
0.5075354,1.74365,0.0,0.0,groundplane,groundplane,666033.2,675811.5,1.0146813987430636
0.6226465,2.302539,0.0,0.0,groundplane,groundplane,723545.1999999998,723610.9,1.0000908015144172
