x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
0.4238182,0.6798742,3.071355,3.050553,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,1897525.0,316927.5,0.1670215147800311
0.4238182,0.5303104,3.122854,3.102052,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,1946908.0,317507.8,0.16308310399716724
0.4238182,0.3807465,3.174353,3.153551,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,1950437.0,318089.1,0.16308606729513125
0.4238182,0.2311827,3.225852,3.20505,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,1959941.0,318670.4,0.16259183303854974
0.4238182,0.08161885,3.277351,3.256549,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,1966309.0,314894.2,0.1601448194764176
0.4238182,-0.06794499,3.32885,3.308048,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,1971019.0,314760.8,0.15969445238239993
0.4238182,-0.2175088,3.380349,3.359547,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,1975730.0,314628.1,0.15924650627401188
0.4238182,-0.3670727,3.431848,3.411046,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,1973211.0,314495.4,0.15938254947930935
0.4238182,-0.5166365,3.483347,3.462545,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,1974037.0,302192.0,0.153083250135087
0.4238182,-0.6662004,3.534846,3.514044,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,1974864.0,298653.9,0.15122757812627727
0.3296364,0.6798742,3.071355,3.050553,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,1893328.0,316786.9,0.1673174958764052
0.3296364,0.5303104,3.122854,3.102052,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,1941154.0,317110.6,0.16336189701416687
0.3296364,0.3807465,3.174353,3.153551,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,1951067.0,316571.2,0.1622554222062823
0.3296364,0.2311827,3.225852,3.20505,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,1959782.0,315361.7,0.16091672432907503
0.3296364,0.08161885,3.277351,3.256549,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,1966653.0,315095.7,0.16021926584902407
0.3296364,-0.06794499,3.32885,3.308048,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,1970926.0,314963.0,0.1598045790862749
0.3296364,-0.2175088,3.380349,3.359547,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,1973040.0,314830.3,0.15956610096117357
0.3296364,-0.3670727,3.431848,3.411046,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,1973367.0,307477.9,0.15581384498888762
0.3296364,-0.5166365,3.483347,3.462545,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,1974194.0,301347.6,0.15264335716112837
0.3296364,-0.6662004,3.534846,3.514044,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,1975021.0,297810.4,0.15078847255255087
0.2354545,0.6798742,3.071355,3.050553,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,1889127.0,316647.2,0.1676156234241448
0.2354545,0.5303104,3.122854,3.102052,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,1938353.0,317208.6,0.1636485200767618
0.2354545,0.3807465,3.174353,3.153551,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,1950028.0,316682.4,0.16239889880432545
0.2354545,0.2311827,3.225852,3.20505,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,1958610.0,315430.6,0.16104819225826061
0.2354545,0.08161885,3.277351,3.256549,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,1966562.0,315297.9,0.16032949881044714
0.2354545,-0.06794499,3.32885,3.308048,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,1970891.0,315165.2,0.15991001016296183
0.2354545,-0.2175088,3.380349,3.359547,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,1972740.0,315032.5,0.1596928636517266
0.2354545,-0.3670727,3.431848,3.411046,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,1973524.0,306550.8,0.15533168071159426
0.2354545,-0.5166365,3.483347,3.462545,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,1974350.0,302458.8,0.15319411444111017
0.2354545,-0.6662004,3.534846,3.514044,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,1975178.0,288953.5,0.14629238471353348
0.1412727,0.6798742,3.071355,3.050553,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,1894681.0,316507.6,0.16705060104204844
0.1412727,0.5303104,3.122854,3.102052,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,1966974.0,317088.9,0.16120645206230158
0.1412727,0.3807465,3.174353,3.153551,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,1948717.0,317102.7,0.1627238330846789
0.1412727,0.2311827,3.225852,3.20505,a7.7.a0.test_module.6457,a7.7.a0.test_module.2310,1957584.0,315632.8,0.16123589068911684
