x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
0.4238182,0.7121175,0.0,0.0,groundplane,groundplane,1437161.0,1403828.0,0.9768063557410712
0.4238182,0.9086663,0.0,0.0,groundplane,groundplane,1433927.0,1403983.0,0.9791174857722064
0.4238182,1.105215,0.0,0.0,groundplane,groundplane,1430694.0,1404138.0,0.9814383781707071
0.4238182,1.301764,0.0,0.0,groundplane,groundplane,1422723.0,1416424.0,0.9955725738632379
0.4238182,1.498313,0.0,0.0,groundplane,groundplane,1424067.0,1408202.0,0.988859371792999
0.4238182,1.694862,0.0,0.0,groundplane,groundplane,1425411.0,1399979.0,0.9821581277384852
0.4238182,1.891411,0.0,0.0,groundplane,groundplane,1426162.0,1398771.0,0.9807939063158366
0.4238182,2.08796,0.0,0.0,groundplane,groundplane,1425816.0,1402884.0,0.9839165776061451
0.4238182,2.284509,0.0,0.0,groundplane,groundplane,1425469.0,1406997.0,0.987041457241763
0.4238182,2.481057,0.0,0.0,groundplane,groundplane,1425123.0,1446078.0,1.0147039932590352
0.3296364,0.7121175,0.0,0.0,groundplane,groundplane,1425682.0,1393331.0,0.9773084032923833
0.3296364,0.9086663,0.0,0.0,groundplane,groundplane,1421942.0,1393486.0,0.9799879313080365
0.3296364,1.105215,0.0,0.0,groundplane,groundplane,1418845.0,1412229.0,0.9953370516192135
0.3296364,1.301764,0.0,0.0,groundplane,groundplane,1419937.0,1406435.0,0.9904911267256991
0.3296364,1.498313,0.0,0.0,groundplane,groundplane,1419770.0,1396894.0,0.9838875303859869
0.3296364,1.694862,0.0,0.0,groundplane,groundplane,1417815.0,1382760.0,0.975275334951827
0.3296364,1.891411,0.0,0.0,groundplane,groundplane,1416508.0,1386874.0,0.9790795385701461
0.3296364,2.08796,0.0,0.0,groundplane,groundplane,1416162.0,1390987.0,0.9822230783044432
0.3296364,2.284509,0.0,0.0,groundplane,groundplane,1415816.0,1436468.0,1.014586640485355
0.3296364,2.481057,0.0,0.0,groundplane,groundplane,1415470.0,1435204.0,1.013941658237941
0.2354545,0.7121175,0.0,0.0,groundplane,groundplane,1414203.0,1382834.0,0.9778186010227538
0.2354545,0.9086663,0.0,0.0,groundplane,groundplane,1410970.0,1382989.0,0.9801689610833902
0.2354545,1.105215,0.0,0.0,groundplane,groundplane,1415607.0,1404669.0,0.9922732785354458
0.2354545,1.301764,0.0,0.0,groundplane,groundplane,1417456.0,1396447.0,0.9851783752122265
0.2354545,1.498313,0.0,0.0,groundplane,groundplane,1415060.0,1388224.0,0.9810354324332288
0.2354545,1.694862,0.0,0.0,groundplane,groundplane,1407201.0,1370863.0,0.9741771069135277
0.2354545,1.891411,0.0,0.0,groundplane,groundplane,1406854.0,1374976.0,0.9773409316266358
0.2354545,2.08796,0.0,0.0,groundplane,groundplane,1406508.0,1379089.0,0.9805056203160554
0.2354545,2.284509,0.0,0.0,groundplane,groundplane,1406162.0,1426549.0,1.0144983287739975
0.2354545,2.481057,0.0,0.0,groundplane,groundplane,1400055.0,1424331.0,1.0173393180858328
0.1412727,0.7121175,0.0,0.0,groundplane,groundplane,1402724.0,1372337.0,0.9783371490198093
0.1412727,0.9086663,0.0,0.0,groundplane,groundplane,1399491.0,1372492.0,0.9807079852741405
0.1412727,1.105215,0.0,0.0,groundplane,groundplane,1386802.0,1398072.0,1.0081266099932604
0.1412727,1.301764,0.0,0.0,groundplane,groundplane,1392504.0,1394576.0,1.0014879662812546
0.1412727,1.498313,0.0,0.0,groundplane,groundplane,1394471.0,1380033.0,0.9896462522421433
0.1412727,1.694862,0.0,0.0,groundplane,groundplane,1397547.0,1374049.0,0.9831862534976025
0.1412727,1.891411,0.0,0.0,groundplane,groundplane,1397201.0,1366708.0,0.9781756519082254
0.1412727,2.08796,0.0,0.0,groundplane,groundplane,1396854.0,1407418.0,1.0075627080514051
0.1412727,2.284509,0.0,0.0,groundplane,groundplane,1393521.0,1407740.0,1.0102036488792034
0.1412727,2.481057,0.0,0.0,groundplane,groundplane,1395409.0,1411901.0,1.0118187563561518
0.04709091,0.7121175,0.0,0.0,groundplane,groundplane,1375103.0,1383362.0,1.0060060948118024
0.04709091,0.9086663,0.0,0.0,groundplane,groundplane,1376844.0,1385806.0,1.0065090881708392
0.04709091,1.105215,0.0,0.0,groundplane,groundplane,1378585.0,1388945.0,1.0075149511945112
0.04709091,1.301764,0.0,0.0,groundplane,groundplane,1380326.0,1382705.0,1.001723505170718
0.04709091,1.498313,0.0,0.0,groundplane,groundplane,1382067.0,1371332.0,0.992232647916322
0.04709091,1.694862,0.0,0.0,groundplane,groundplane,1399262.0,1365596.0,0.975940173480063
0.04709091,1.891411,0.0,0.0,groundplane,groundplane,1396865.0,1391514.0,0.9961692783510437
0.04709091,2.08796,0.0,0.0,groundplane,groundplane,1365441.0,1400079.0,1.0253676277295265
0.04709091,2.284509,0.0,0.0,groundplane,groundplane,1370902.0,1400083.0,1.0212859846865159
0.04709091,2.481057,0.0,0.0,groundplane,groundplane,1378540.0,1400086.0,1.0156295783831957
-0.04709091,0.7121175,0.0,0.0,groundplane,groundplane,1366886.0,1375916.0,1.0066062561130875
-0.04709091,0.9086663,0.0,0.0,groundplane,groundplane,1368627.0,1376414.0,1.0056896429738054
-0.04709091,1.105215,0.0,0.0,groundplane,groundplane,1370368.0,1382528.0,1.0088735281261139
-0.04709091,1.301764,0.0,0.0,groundplane,groundplane,1372109.0,1373708.0,1.0011653585821787
-0.04709091,1.498313,0.0,0.0,groundplane,groundplane,1392834.0,1362631.0,0.9783154338720081
-0.04709091,1.694862,0.0,0.0,groundplane,groundplane,1382311.0,1356894.0,0.9816126754531993
-0.04709091,1.891411,0.0,0.0,groundplane,groundplane,1373072.0,1392737.0,1.0143218993510015
-0.04709091,2.08796,0.0,0.0,groundplane,groundplane,1362054.0,1392740.0,1.0225292088107159
-0.04709091,2.284509,0.0,0.0,groundplane,groundplane,1363196.0,1392744.0,1.0216755323360136
-0.04709091,2.481057,0.0,0.0,groundplane,groundplane,1364338.0,1384523.0,1.0147947202124439
-0.1412727,0.7121175,0.0,0.0,groundplane,groundplane,1399337.0,1368470.0,0.9779416959760646
